"Name","Ecol_f0","Ecol_f1","Ecol_f2","SS_f0","SS_f1","SS_f2","Ecol_f3","Ecol_f4","SS_f3","SS_f4","Ecol_f5","Ecol_f6","SS_f5","SS_f6","Ecol_f7","Ecol_f8","SS_f7","SS_f8","POINT_X","POINT_Y","LBP","Time","Site_centr","Site_cen_1","Fire","EVC","Aspect","CosAsp","CreekIndex","DEM","SinAsp","Slope","SoA","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","max","mean","p10","p25","p50","p75","p90","S00","S05","S10","S15","S20","S25","S30","S35","S40","S45","S50","S55","S60","std","Pfc","OvCWavg","OvCWsum","OvHtavg","OvN08t10","OvN10t15","OvN15t20","OvN20t30","OvNum","CLdens","MsCover","MsNum","MsHtavg","liveWattle","DeadWattle","AllWattle","liveEucal","DeadEucal","shrub_CNT","MS_CNT","Top_CNT","FMZ","Logging","BIO01_250m","BIO02_250m","BIO03_250m","BIO04_250m","BIO05_250m","BIO06_250m","BIO07_250m","BIO08_250m","BIO09_250m","BIO10_250m","BIO11_250m","BIO12_250m","BIO13_250m","BIO14_250m","BIO15_250m","BIO16_250m","BIO17_250m","BIO18_250m","BIO19_250m","NEAR_FID","NEAR_DIST","block1k","block2k","block3k","block4k","block5k","block6k","block7k","block8k","block9k","block10k","block11k","block12k","block13k","block14k","block15k","HBT0t2","LBP_fold1k","LBP_fold2k","LBP_fold3k","LBP_fold4k","LBP_fold5k","LBP_fold6k","LBP_fold7k","LBP_fold8k","LBP_fold9k","LBP_fold10k","LBP_fold11k","LBP_fold12k","LBP_fold13k","LBP_fold14k","LBP_fold15k"
"S1-75-S",0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,402389.909855,5868033.83046,0,"2016_17",402390,5868034,1939,7,33.1351,-0.147793,5.52,728.395,0.989018,16.5357,30.4176,11.4557,8.45435,39.7265,465.484,23.8971,2.61997,21.2771,5.74644,17.1109,17.1109,5.74644,1549,226.602,49.4752,44.7281,626.522,195.635,195.635,626.522,53.5979,29.8604,2.18051,6.76508,37.9942,47.6566,50.6247,0.274368,0.068738,0.017425,0.016094,0.018929,0.021619,0.025914,0.043052,0.115308,0.240404,0.137878,0.018419,0.001858,20.2302,0.447146,10.5139,581.26,56.6292,26.2403,26.8003,0.914104,0,55.2849,6.1175,4.65,155,16.0536,1,0.125,1.125,28.5,4.125,2.25,1,1.25,1,1939,11.5602,8.62197,40.2504,463.738,24.0732,2.65236,21.4209,5.87692,17.2019,17.2019,5.87692,1548.99,226.544,49.4972,44.7096,626.396,195.682,195.682,626.396,1,666.237537514,"402_5868","201_2934","134_1956","100_1467","80_1173","67_978","57_838","50_733","44_652","40_586","36_533","33_489","30_451","28_419","26_391",0,5,2,4,5,1,4,1,3,4,4,1,4,5,2,3
"SnCk1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,402685.875734,5867436.94131,0,"2014_16",402686,5867437,1939,7,28.6029,-0.946493,0.76,760.876,-0.322724,10.5776,4.65698,11.3268,8.80297,40.5844,467.712,23.9062,2.21728,21.6889,5.57602,16.9795,16.9834,5.57602,1574.72,228.291,51.0204,43.7808,629.613,200.948,218.625,629.613,55.4695,29.3824,2.61888,14.2083,34.0971,43.6875,48.9782,0.298047,0.049676,0.031793,0.033304,0.034597,0.032821,0.043529,0.055057,0.06661,0.07837,0.103604,0.11166,0.055115,18.027,0.445364,10.7773,490.745,59.9183,20.0062,23.7368,1.64107,0,45.5352,5.6375,4.2,112,18.5088,1.625,0,1.625,13,0,2,1.25,1.25,1,1939,11.3754,8.85296,40.7452,467.027,23.9726,2.24499,21.7276,5.63355,17.0202,17.0251,5.63355,1571.75,228.076,50.849,43.8829,629.227,200.345,227.216,629.227,0,666.237537514,"402_5867","201_2933","134_1955","100_1466","80_1173","67_977","57_838","50_733","44_651","40_586","36_533","33_488","30_451","28_419","26_391",0,2,3,3,1,1,5,1,3,1,4,1,4,5,2,3
"No6-2",0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,402677.844667,5866310.97927,1,"2014_16",402678,5866311,2004,7,60.5547,-0.649096,0,886.891,-0.760706,9.03478,3.24758,10.6165,8.30107,39.2283,472.29,22.9361,1.77619,21.1599,4.81356,16.347,16.347,4.81356,1613.78,231.075,53.2912,42.4586,634.5,208.954,208.954,634.5,26.4393,16.7938,11.9532,14.9005,17.2835,19.4389,21.5353,0.039879,0.037496,0.178308,0.58145,0.141295,0.001462,0.003404,0.007011,0.0086,0.001089,0,0,0,4.36692,0.468876,11.9053,35.3426,43.3158,1.30069,0.59541,1.08634,0,2.96866,2.8075,73.35,436,21.7543,10.125,0.25,10.375,17.5,0.125,2,2,3,1,2005,10.6696,8.36624,39.3988,472.496,23.0304,1.79566,21.2347,4.86378,16.4021,16.4021,4.86378,1611.26,230.886,53.1473,42.5386,634.173,208.44,208.44,634.173,3,367.188983986,"402_5866","201_2933","134_1955","100_1466","80_1173","67_977","57_838","50_733","44_651","40_586","36_533","33_488","30_451","28_419","26_391",1,4,3,3,1,1,5,1,3,1,4,1,4,5,2,3
"No6-3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,402859.862789,5866629.87918,0,"2014_16",402860,5866630,1939,7,87.0648,0.621762,3.48,799.929,-0.783206,18.7497,25.2489,10.9858,8.692,40.296,471.503,23.5273,1.95756,21.5697,5.19081,16.7045,16.7045,5.19081,1606.6,230.456,52.914,42.6656,633.392,207.56,207.56,633.392,58.2186,26.8592,2.5225,5.70075,28.8768,43.9873,50.9494,0.238768,0.143695,0.084469,0.035973,0.026049,0.038505,0.054787,0.081568,0.092302,0.10114,0.075502,0.026544,0.000702,19.9473,0.406977,10.2564,485.834,54.1879,24.2217,26.5127,0.487312,0,47.3689,7.3025,6.05,223,14.7549,1.625,0,1.625,36,5.5,3,1.25,2,1,1939,11.043,8.74796,40.456,471.151,23.6126,1.98928,21.6234,5.25213,16.7572,16.7572,5.25213,1605.01,230.325,52.8283,42.7128,633.159,207.246,207.246,633.159,2,367.188983986,"402_5866","201_2933","134_1955","100_1466","80_1173","67_977","57_838","50_733","44_651","40_586","36_533","33_488","30_451","28_419","26_391",1,4,3,3,1,1,5,1,3,1,4,1,4,5,2,3
"S1-55-F",0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,401883.206248,5866594,0,"2016_17",401884,5866594,1939,7,319.639,0.693947,5.92,982.84,-0.720026,3.07654,81.4544,10.1801,8.20243,38.7916,473.74,22.4516,1.31291,21.1387,4.37531,15.9377,15.9377,4.37531,1586.16,229.647,51.4853,43.5381,632.137,202.862,202.862,632.137,50.8813,29.2209,3.415,14.323,35.0286,42.4014,46.1324,0.180292,0.136115,0.089121,0.020709,0.015627,0.023485,0.035928,0.050705,0.079855,0.143418,0.162556,0.061473,0.00072,16.9546,0.457355,9.79217,440.221,54.1247,27.4436,13.9954,0.726894,0,44.9564,6.52,21.45,233,16.3067,0,0,0,14,10,1.5,3,1,1,1939,10.2961,8.47393,39.5083,475.237,22.727,1.27854,21.4485,4.47426,16.0706,16.0706,4.47426,1579.08,229.225,51.0425,43.8079,631.422,201.345,201.345,631.422,2,843.534795603,"401_5866","200_2933","133_1955","100_1466","80_1173","66_977","57_838","50_733","44_651","40_586","36_533","33_488","30_451","28_419","26_391",0,3,2,5,1,1,5,1,3,1,4,1,4,5,2,3
"No6-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402901.857611,5865819.0328,0,"2014_16",402902,5865819,2004,7,77.9407,-0.825811,0,908.432,0.563947,22.9,3.35092,10.5319,8.3819,39.33,470.756,22.8858,1.57468,21.3112,4.74551,16.2432,16.2432,4.74551,1635.95,232.595,54.6072,41.7297,637.096,213.585,213.585,637.096,51.8925,23.0818,3.64603,8.26035,23.9076,36.1305,42.5057,0.176434,0.190884,0.116042,0.054122,0.033411,0.033331,0.044016,0.066489,0.119404,0.110807,0.045641,0.009043,0.000366,15.4998,0.427364,10.1084,335.398,51.6726,21.0018,14.4664,0,0,33.1802,7.6225,21,277,19.9051,6.125,0,6.125,16.5,7,3,2,1,1,1939,10.5939,8.42672,39.4488,470.667,22.9776,1.61642,21.3612,4.80768,16.3035,16.3035,4.80768,1635.87,232.569,54.6099,41.7266,637.047,213.583,213.583,637.047,2,540.548912074,"402_5865","201_2932","134_1955","100_1466","80_1173","67_977","57_837","50_733","44_651","40_586","36_533","33_488","30_451","28_418","26_391",0,4,2,3,1,1,5,1,3,1,4,1,4,5,4,3
"S1-87-Fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404899.986676,5862974.83844,0,"2016_17",404900,5862974,1939,7,280.195,-0.829292,0,928.784,-0.558815,20.6559,13.919,10.0934,9.48084,42.4108,472.47,22.8945,0.541403,22.3531,4.30863,15.825,15.8266,4.30863,1747.3,241.176,60.9642,38.7522,651.635,236.48,249.003,651.635,56.705,35.4362,6.8951,22.9066,41.4508,49.1486,52.5256,0.154692,0.087205,0.040314,0.034401,0.034592,0.072854,0.131717,0.072362,0.050579,0.077873,0.110263,0.107991,0.025033,17.6291,0.495568,9.82074,598.743,60.224,37.6146,17.6327,0.211628,0,60.9673,6.4875,21.95,163,15.5701,0.875,0,0.875,65,6,2.25,1,2,1,1939,10.0775,9.5588,42.5807,473.042,22.9073,0.458702,22.4486,4.28896,15.8142,15.8176,4.28896,1749.64,241.379,61.0952,38.6995,651.951,236.961,265.401,651.951,7,785.421280138,"404_5862","202_2931","134_1954","101_1465","80_1172","67_977","57_837","50_732","44_651","40_586","36_532","33_488","31_450","28_418","26_390",0,5,4,1,3,3,5,1,4,1,4,1,4,3,4,3
"SnCk2",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,405429.937683,5862395.15015,1,"2014_16",405430,5862395,1939,9,156.759,0.949176,12.72,930.844,-0.314745,11.5096,36.561,9.95251,9.05998,41.4772,468.434,22.5208,0.684905,21.8359,4.2299,15.6588,15.6588,4.2299,1753.09,241.672,61.341,38.5874,651.969,237.82,237.82,651.969,46.4828,21.7035,4.97591,11.7966,21.1635,32.0607,37.9478,0.155781,0.097293,0.158419,0.184771,0.078351,0.027215,0.038663,0.056795,0.068916,0.084412,0.047298,0.00208,0,12.8826,0.463477,10.3909,502.427,53.4421,21.9034,21.2801,0.142085,0,48.3528,5.9275,43.45,220,22.2948,4.125,1,5.125,5,2,2,2.25,0.25,1,1939,9.95471,9.34885,42.1876,470.588,22.6766,0.516393,22.1602,4.21048,15.6868,15.6868,4.21048,1756.3,241.967,61.497,38.532,652.575,238.417,238.417,652.575,6,785.421280138,"405_5862","202_2931","135_1954","101_1465","81_1172","67_977","57_837","50_732","45_651","40_586","36_532","33_488","31_450","28_418","27_390",2,4,4,4,3,3,5,1,4,3,4,1,4,3,4,1
"No5-2",0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,404011.132766,5862182.17534,0,"2014_16",404011,5862182,1988,9,43.1356,0.662436,3.36,1086.88,-0.749119,12.453,24.3381,9.29794,7.54578,37.2609,463.932,21.0266,0.782741,20.2438,3.61687,14.9343,14.9343,3.61687,1757.23,242.382,61.3698,38.628,653.892,238.183,238.183,653.892,49.0221,30.3145,4.06698,18.8054,36.173,42.5653,45.279,0.174938,0.052611,0.044157,0.025495,0.018863,0.029946,0.066321,0.15775,0.259032,0.148092,0.021567,0.001233,0,15.8938,0.404906,10.2232,540.991,48.8613,30.4315,29.3612,3.8351,0,50.9345,4.9525,10.1,172,17.9822,4.375,0.3125,4.6875,29.5,0.625,2,1.75,2,1,1939,9.56919,7.94004,38.4016,464.829,21.5248,0.848455,20.6763,3.87544,15.2142,15.2142,3.87544,1756.78,242.295,61.3577,38.6297,653.774,238.115,238.115,653.774,9,1171.61423937,"404_5862","202_2931","134_1954","101_1465","80_1172","67_977","57_837","50_732","44_651","40_586","36_532","33_488","31_450","28_418","26_390",4,5,4,1,3,3,5,1,4,1,4,1,4,3,4,3
"No5-1",0,2,0,0,4,1,0,0,0,0,0,4,0,0,2,0,0,0,404828.91832,5861343.18385,1,"2014_16",404829,5861343,1939,7,99.5161,0.527765,6.84,962.038,-0.84939,10.3275,45.2076,9.73594,8.52914,40.1965,464.54,21.9849,0.7743,21.2106,4.03972,15.3894,15.3894,4.03972,1779.2,244.225,62.616,38.1495,656.779,242.735,242.735,656.779,57.2314,29.8713,4.35131,15.0902,32.8601,44.3837,50.7359,0.220449,0.050587,0.075472,0.086474,0.045372,0.023659,0.033445,0.043495,0.067425,0.080765,0.101888,0.113141,0.052323,18.0918,0.449501,10.8443,459.052,58.0961,17.714,27.9301,3.18462,0,42.3311,6.6625,13.2,202,20.298,5.125,1,6.125,34.5,7,2,2,1,1,1939,9.70984,8.25419,39.2145,464.317,21.8272,0.778337,21.0488,4.00413,15.3516,15.3516,4.00413,1777.79,244.109,62.5269,38.1854,656.676,242.416,242.416,656.676,8,1171.61423937,"404_5861","202_2930","134_1953","101_1465","80_1172","67_976","57_837","50_732","44_651","40_586","36_532","33_488","31_450","28_418","26_390",7,3,2,5,3,3,3,1,4,1,4,1,4,3,4,3
